__IATA__	__ICAO__	__airport name__	__place name__
OLH		Old Harbor Airport (FAA: 6R7)	Old Harbor, Alaska, United States
OLM	KOLM	Olympia Airport	Olympia, Washington, United States
OLS	KOLS	Nogales International Airport	Nogales, Arizona, United States
OLU	KOLU	Columbus Municipal Airport (Nebraska)	Columbus, Nebraska, United States
OLV	KOLV	Olive Branch Airport	Olive Branch, Mississippi, United States
OLY	KOLY	Olney-Noble Airport	Olney, Illinois|Olney-Noble, Illinois, United States
OMA	KOMA	Eppley Airfield	Omaha, Nebraska, United States
OME	PAOM	Nome Airport	Nome, Alaska, United States
OMH	OITR	Orange County Airport (Virginia)|Orange County Airport	Orange, Virginia, United States
OMK	KOMK	Omak Airport	Omak, Washington, United States
ONA	KONA	Winona Municipal Airport (Max Conrad Field)	Winona, Minnesota, United States
ONH		Oneonta Municipal Airport (FAA: N66)	Oneonta, New York, United States
ONL	KONL	The O'Neill Municipal Airport (John L. Baker Field)	O'Neill, Nebraska, United States
ONM	KONM	Socorro Municipal Airport	Socorro, New Mexico, United States
ONO	KONO	Ontario Municipal Airport	Ontario, Oregon, United States
ONP	KONP	Newport Municipal Airport (Oregon)|Newport Municipal Airport	Newport, Oregon, United States
ONT	KONT	Ontario International Airport	Ontario, California|Ontario (near Los Angeles, California|Los Angeles), California, United States
ONY	KONY	Olney Municipal Airport	Olney, Texas, United States
OOA	KOOA	Oskaloosa Municipal Airport	Oskaloosa, Iowa, United States
OOK	PAOO	Toksook Bay Airport	Toksook Bay, Alaska, United States
OPF	KOPF	Opa-locka Airport	Miami, Florida, United States
OPL	KOPL	St. Landry Parish Airport (Ahart Field)	Opelousas, Louisiana, United States
OQN	KOQN	Brandywine Airport	West Chester, Pennsylvania, United States
ORC	KORC	Orange City Municipal Airport	Orange City, Iowa, United States
ORD	KORD	O'Hare International Airport (formerly Orchard Depot Field)	Chicago, Illinois, United States
ORF	KORF	Norfolk International Airport	Norfolk, Virginia (near Virginia Beach, Virginia|Virginia Beach and Williamsburg, Virginia|Williamsburg), United States
ORH	KORH	Worcester Regional Airport	Worcester, Massachusetts, United States
ORI	KORI	Port Lions Airport	Port Lions, Alaska, United States
ORL	KORL	Orlando Executive Airport	Orlando, Florida, United States
ORT	PAOR	Northway Airport	Northway, Alaska, United States
ORV	PFNO	Robert (Bob) Curtis Memorial Airport (FAA: D76)	Noorvik, Alaska, United States
OSB		Grand Glaize-Osage Beach Airport (FAA: K15)	Osage Beach, Missouri, United States
OSC	KOSC	Oscoda-Wurtsmith Airport	Oscoda, Michigan, United States
OSH	KOSH	Wittman Regional Airport	Oshkosh, Wisconsin, United States
OSU	KOSU	Ohio State University Airport	Columbus, Ohio, United States
OSX	KOSX	Kosciusko-Attala County Airport	Kosciusko, Mississippi, United States
OTG	KOTG	Worthington Municipal Airport	Worthington, Minnesota, United States
OTH	KOTH	North Bend Municipal Airport	North Bend, Oregon, United States
OTM	KOTM	Ottumwa Industrial Airport	Ottumwa, Iowa, United States
OTN		Ed-Air Airport (FAA: 2IG4)	Oaktown, Indiana, United States
OTS		Anacortes Airport (FAA: 74S)	Anacortes, Washington, United States
OTZ	PAOT	Ralph Wien Memorial Airport	Kotzebue, Alaska, United States
OUN	KOUN	University of Oklahoma Westheimer Airport	Norman, Oklahoma, United States
OVE	KOVE	Oroville Municipal Airport	Oroville, California, United States
OVL	KOVL	Olivia Regional Airport	Olivia, Minnesota, United States
OWA	KOWA	Owatonna Degner Regional Airport	Owatonna, Minnesota, United States
OWB	KOWB	Owensboro-Daviess County Airport	Owensboro, Kentucky, United States
OWD	KOWD	Norwood Memorial Airport	Norwood, Massachusetts, United States
OWK	KOWK	Central Maine Airport of Norridgewock	Norridgewock, Maine, United States
OXC	KOXC	Waterbury-Oxford Airport	Oxford, Connecticut, United States
OXD	KOXD	Miami University Airport	Oxford, Ohio, United States
OXR	KOXR	Oxnard Airport	Oxnard, California, United States
OZA	KOZA	Ozona Municipal Airport	Ozona, Texas, United States
OZR	KOZR	Cairns Army Airfield (Fort Rucker)	Fort Rucker, Alabama|Fort Rucker/Ozark, Alabama, United States
PAE	KPAE	Snohomish County Airport (Paine Field)	Everett, Washington, United States
PAH	KPAH	Barkley Regional Airport	Paducah, Kentucky, United States
PAK		Port Allen Airport	Hanapepe, Hawaii, United States
PAM	KPAM	Tyndall Air Force Base	Panama City, Florida, United States
PAO	KPAO	Palo Alto Airport	Palo Alto, California, United States
PAQ	PAAQ	Palmer Municipal Airport	Palmer, Alaska, United States
PBF	KPBF	Grider Field	Pine Bluff, Arkansas, United States
PBG	KPBG	Plattsburgh International Airport	Plattsburgh, New York, United States
PBI	KPBI	Palm Beach International Airport	West Palm Beach, Florida, United States
PCA	PAOC	Portage Creek Airport (FAA: A14)	Portage Creek, Alaska, United States
PCD	KPDC	Prairie du Chien Municipal Airport (FAA: PDC)	Prairie du Chien, Wisconsin, United States
PCK		Porcupine Creek Airport	Porcupine Creek, Alaska, United States
PCT		Princeton Airport (New Jersey)|Princeton Airport (FAA: 39N)	Princeton, New Jersey|Princeton/Rocky Hill, New Jersey, United States
PDB		Pedro Bay Airport (FAA: 4K0)	Pedro Bay, Alaska, United States
PDK	KPDK	DeKalb-Peachtree Airport	Atlanta, Georgia, United States
PDT	KPDT	Eastern Oregon Regional Airport	Pendleton, Oregon, United States
PDX	KPDX	Portland International Airport	Portland, Oregon, United States
PEQ	KPEQ	Pecos Municipal Airport	Pecos, Texas, United States
PFC	KPFC	Pacific City State Airport	Pacific City, Oregon, United States
PFN	KPFN	Panama City-Bay County International Airport	Panama City, Florida, United States
PGA	KPGA	Page Municipal Airport	Page, Arizona, United States
PGC		Grant County Airport (FAA: W99)	Petersburg, West Virginia, United States
PGD	KPGD	Charlotte County Airport	Punta Gorda, Florida, United States
PGL	KPQL	Trent Lott International Airport (FAA: PQL)	Pascagoula, Mississippi, United States
PGM		Port Graham Airport	Port Graham, Alaska, United States
PGO	KPSO	Stevens Field (FAA: PSO)	Pagosa Springs, Colorado, United States
PGR	KPGR	Kirk Field	Paragould, Arkansas, United States
PGS		Grand Canyon Caverns Airport (FAA: L37)	Peach Springs, Arizona, United States
PGV	KPGV	Pitt-Greenville Airport	Greenville, North Carolina, United States
PHD	KPHD	Harry Clever Field	New Philadelphia, Ohio, United States
PHF	KPHF	Newport News/Williamsburg International Airport	Newport News, Virginia, United States
PHK	KPHK	Palm Beach County Glades Airport	Pahokee, Florida, United States
PHL	KPHL	Philadelphia International Airport	Philadelphia, Pennsylvania, United States
PHN	KPHN	St. Clair County International Airport	Port Huron, Michigan, United States
PHO	PAPO	Point Hope Airport	Point Hope, Alaska, United States
PHP	KPHP	Philip Airport	Philip, South Dakota, United States
PHT	KPHT	Henry County Airport (Tennessee)|Henry County Airport	Paris, Tennessee, United States
PHX	KPHX	Sky Harbor International Airport	Phoenix, Arizona, United States
PIA	KPIA	Greater Peoria Regional Airport	Peoria, Illinois, United States
PIB	KPIB	Hattiesburg-Laurel Regional Airport	Hattiesburg, Mississippi|Hattiesburg/Laurel, Mississippi, United States
PIE	KPIE	St. Petersburg-Clearwater International Airport	Pinellas County, Florida (near St. Petersburg, Florida|St. Petersburg and Clearwater, Florida|Clearwater), United States
PIH	KPIH	Pocatello Regional Airport	Pocatello, Idaho, United States
PIM	KPIM	Callaway Gardens-Harris County Airport	Pine Mountain, Harris County, Georgia|Pine Mountain, Georgia, United States
PIP	PAPN	Pilot Point Airport (FAA: PNP)	Pilot Point, Alaska, United States
PIR	KPIR	Pierre Regional Airport	Pierre, South Dakota, United States
PIT	KPIT	Pittsburgh International Airport	Findlay Township, Pennsylvania|Findlay (near Pittsburgh, Pennsylvania|Pittsburgh), Pennsylvania, United States
PIZ	PPIZ	Point Lay LRRS Airport	Point Lay, Alaska, United States
PJB	KPAN	Payson Airport (FAA: PAN)	Payson, Arizona, United States
PKA	PAPK	Napaskiak Airport	Napaskiak, Alaska, United States
PKB	KPKB	Mid-Ohio Valley Regional Airport	Parkersburg, West Virginia, United States
PKD	KPKD	Park Rapids Municipal Airport (Konshok Field)	Park Rapids, Minnesota, United States
PKF	KPKF	Park Falls Municipal Airport	Park Falls, Wisconsin, United States
PLB	KPLB	Clinton County Airport	Plattsburgh, New York, United States
PLK	KPLK	M. Graham Clark - Taney County Airport	Point Lookout, Missouri, United States
PLN	KPLN	Pellston Regional Airport	Pellston, Michigan, United States
PLR	KPLR	St. Clair County Airport	Pell City, Alabama, United States
PLY		Plymouth Municipal Airport (FAA: C65)	Plymouth, Indiana, United States
PMB	KPMB	Pembina Municipal Airport	Pembina, North Dakota, United States
PMD	KPMD	Palmdale Regional Airport	Palmdale, California, United States
PMH	KPMH	Greater Portsmouth Regional Airport	Portsmouth, Ohio, United States
PML	PAAL	Port Moller Airport (FAA: 1AK3)	Cold Bay, Alaska, United States
PNC	KPNC	Ponca City Regional Airport	Ponca City, Oklahoma, United States
PNE	KPNE	Northeast Philadelphia Airport	Philadelphia, Pennsylvania, United States
PNN	KPNN	Princeton Municipal Airport (Maine)|Princeton Municipal Airport	Princeton, Maine, United States
PNS	KPNS	Pensacola Regional Airport	Pensacola, Florida, United States
PNU		Panguitch Municipal Airport (FAA: U55)	Panguitch, Utah, United States
PNX	KGYI	North Texas Regional Airport (FAA: GYI)	Sherman, Texas|Sherman/Denison, Texas, United States
POB	KPOB	Pope Air Force Base	Fayetteville, North Carolina, United States
POC	KPOC	Brackett Field	La Verne, California, United States
POE	KPOE	Polk Army Airfield	Fort Polk, Louisiana, United States
POF	KPOF	Poplar Bluff Municipal Airport	Poplar Bluff, Missouri, United States
POH	KPOH	Pocahontas Municipal Airport	Pocahontas, Iowa, United States
POU	KPOU	Dutchess County Airport	Poughkeepsie (city), New York|Poughkeepsie, New York, United States
POY	KPOY	Powell Municipal Airport	Powell, Wyoming, United States
PPA	KPPA	Perry Lefors Field	Pampa, Texas, United States
PPC	PAPR	Prospect Creek Airport	Prospect Creek, Alaska, United States
PPF	KPPF	Tri-City Airport (Kansas)|Tri-City Airport	Parsons, Kansas, United States
PPM	KPMP	Pompano Beach Airpark (FAA: PMP)	Pompano Beach, Florida, United States
PPO	KPPO	La Porte Municipal Airport (Indiana)|La Porte Municipal Airport	La Porte, Indiana, United States
PPV		Port Protection Seaplane Base (FAA: 19P)	Port Protection, Alaska, United States
PQI	KPQI	Northern Maine Regional Airport at Presque Isle	Presque Isle, Maine, United States
PQS		Pilot Station Airport (FAA: 0AK)	Pilot Station, Alaska, United States
PRB	KPRB	Paso Robles Municipal Airport	Paso Robles, California, United States
PRC	KPRC	Ernest A. Love Field	Prescott, Arizona, United States
PRO	KPRO	Perry Municipal Airport (Iowa)|Perry Municipal Airport	Perry, Iowa, United States
PRW		Prentice Airport (FAA: 5N2)	Prentice, Wisconsin, United States
PRX	KPRX	Cox Field	Paris, Texas, United States
PRZ		Prineville Airport (FAA: S39)	Prineville, Oregon, United States
PSB	KPSB	Mid-State Airport	Philipsburg, Pennsylvania, United States
PSC	KPSC	Tri-Cities Airport (Washington)|Tri-Cities Airport	Pasco, Washington, United States
PSF	KPSF	Pittsfield Municipal Airport	Pittsfield, Massachusetts, United States
PSG	PAPG	Petersburg James A. Johnson Airport	Petersburg, Alaska, United States
PSK	KPSK	New River Valley Airport	Dublin, Virginia, United States
PSM	KPSM	Pease International Tradeport	Portsmouth, New Hampshire, United States
PSN	KPSN	Palestine Municipal Airport	Palestine, Texas, United States
PSP	KPSP	Palm Springs International Airport	Palm Springs, California, United States
PSQ		Philadelphia Seaplane Base (FAA: 9N2)	Essington, Pennsylvania|Essington, Pennsylvania United States
PSX	KPSX	Palacios Municipal Airport	Palacios, Texas, United States
PTA	PALJ	Port Alsworth Airport (FAA: TPO)	Port Alsworth, Alaska, United States
PTB	KPTB	Dinwiddie County Airport	Petersburg, Virginia, United States
PTC		Port Alice Seaplane Base (FAA: 16K)	Port Alice, Alaska|Port Alice, Alaska, United States
PTD	PAAP	Port Alexander Seaplane Base (FAA: AHP)	Port Alexander, Alaska, United States
PTH	PAPH	Port Heiden Airport	Port Heiden, Alaska, United States
PTI		Piedmont Triad International Airport	Greensboro, North Carolina, United States
PTK	KPTK	Oakland County International Airport	Pontiac, Michigan, United States
PTN	KPTN	Harry P. Williams Memorial Airport	Patterson, Louisiana, United States
PTS	KPTS	Atkinson Municipal Airport	Pittsburg, Kansas, United States
PTT	KPTT	Pratt Industrial Airport	Pratt, Kansas, United States
PTU	PAPM	Platinum Airport	Platinum, Alaska, United States
PTV	KPTV	Porterville Municipal Airport	Porterville, California, United States
PTW	KPTW	Pottstown Limerick Airport	Pottstown, Pennsylvania, United States
PUB	KPUB	Pueblo Memorial Airport	Pueblo, Colorado, United States
PUC	KPUC	Carbon County Airport	Price, Utah, United States
PUL		Port of Poulsbo Marina Moorage Seaplane Base (FAA: 83Q)	Poulsbo, Washington, United States
PUO		Northstar Heliport (FAA: 90AK)	Prudhoe Bay/Deadhorse, Alaska, United States
PUW	KPUW	Pullman-Moscow Regional Airport	Pullman, Washington (near Moscow, Idaho), United States
PVC	KPVC	Provincetown Municipal Airport	Provincetown, Massachusetts, United States
PVD	KPVD	T. F. Green Airport|Theodore Francis Green State Airport	Providence, Rhode Island, United States
PVF	KPVF	Placerville Airport	Placerville, California, United States
PVU	KPVU	Provo Municipal Airport	Provo, Utah, United States
PVW	KPVW	Hale County Airport	Plainview, Texas, United States
PWA	KPWA	Wiley Post Airport	Oklahoma City, Oklahoma, United States
PWD	KPWD	Sher-Wood Airport	Plentywood, Montana, United States
PWK	KPWK	Palwaukee Municipal Airport	Chicago, Illinois|Chicago/Prospect Heights, Illinois|Prospect Heights/Wheeling, Illinois, United States
PWM	KPWM	Portland International Jetport	Portland, Maine, United States
PWT	KPWT	Bremerton National Airport	Bremerton, Washington, United States
PXL		Polacca Airport (FAA: P10)	Polacca, Arizona|Polacca, Arizona, United States
PYM	KPYM	Plymouth Municipal Airport (Massachusetts)|Plymouth Municipal Airport	Plymouth, Massachusetts, United States
QNY		New York Skyports Inc. Seaplane Base (FAA: 6N7)	New York City, New York, United States
QWG		Wilgrove Air Park (FAA: 8A6)	Charlotte, North Carolina, United States
RAC	KRAC	John H. Batten Airport	Racine, Wisconsin, United States
RAL	KRAL	Riverside Municipal Airport	Riverside, California, United States
RAP	KRAP	Rapid City Regional Airport	Rapid City, South Dakota, United States
RBD	KRBD	Dallas Executive Airport	Dallas, Texas, United States
RBG	KRBG	Roseburg Regional Airport	Roseburg, Oregon, United States
RBL	KRBL	Red Bluff Municipal Airport	Red Bluff, California, United States
RBW	KRBW	Lowcountry Regional Airport	Walterboro, South Carolina, United States
RBY	PARY	Ruby Airport	Ruby, Alaska, United States
RCA	KRCA	Ellsworth Air Force Base	Rapid City, South Dakota, United States
RCE		Roche Harbor Seaplane Base	San Juan Island, Washington (U.S. State)|Washington, United States
RCK	KRCK	H. H. Coffield Regional Airport	Rockdale, Texas, United States
RCR	KRCR	Fulton County Airport (Indiana)|Fulton County Airport	Rochester, Indiana, United States
RCT	KRCT	Nartron Field	Reed City, Michigan, United States
RDD	KRDD	Redding Municipal Airport	Redding, California, United States
RDG	KRDG	Reading Regional Airport (Carl A. Spaatz Field)	Reading, Pennsylvania, United States
RDM	KRDM	Roberts Field	Redmond, Oregon, United States
RDR	KRDR	Grand Forks Air Force Base	Grand Forks, North Dakota, United States
RDU	KRDU	Raleigh-Durham International Airport	Raleigh, North Carolina|Raleigh / Durham, North Carolina, United States
RDV		Red Devil Airport	Red Devil, Alaska, United States
RED	KRVL	Mifflin County Airport (FAA: RVL)	Reedsville, Pennsylvania, United States
REO	KREO	Rome State Airport	Rome, Oregon, United States
RFD	KRFD	Chicago Rockford International Airport (Greater Rockford Airport)	Rockford, Illinois, United States
RFG	KRFG	Rooke Field	Refugio, Texas, United States
RHI	KRHI	Rhinelander-Oneida County Airport	Rhinelander, Wisconsin, United States
RHV	KRHV	Reid-Hillview Airport of Santa Clara County	San Jose, California, United States
RIC	KRIC	Richmond International Airport	Richmond, Virginia, United States
RID	KRID	Richmond Municipal Airport	Richmond, Indiana, United States
RIE	KRPD	Rice Lake Regional Airport (Carl's Field) (FAA: RPD)	Rice Lake, Wisconsin, United States
RIF	KRIF	Richfield Municipal Airport	Richfield, Utah, United States
RIL	KRIL	Garfield County Regional Airport	Rifle, Colorado, United States
RIR	KRIR	Flabob Airport	Riverside, California|Riverside/Rubidoux, California, United States
RIV	KRIV	March ARB	Riverside, California, United States
RIW	KRIW	Riverton Regional Airport	Riverton, Wyoming, United States
RKC		Montague Airport (California)|Montague Airport (Yreka Rohrer Field) (FAA: 1O5)	Montague, California, United States
RKD	KRKD	Knox County Regional Airport	Rockland, Maine, United States
RKP	KRKP	Aransas County Airport	Rockport, Texas, United States
RKR	KRKR	Robert S. Kerr Airport	Poteau, Oklahoma, United States
RKS	KRKS	Rock Springs-Sweetwater County Airport	Rock Springs, Wyoming, United States
RKW	KRKW	Rockwood Municipal Airport	Rockwood, Tennessee, United States
RLA		Rolla Downtown Airport (FAA: K07)	Rolla, Missouri, United States
RLD	KRLD	Richland Airport (Washington)|Richland Airport	Richland, Washington, United States
RME	KRME	Griffiss Airpark	Rome, New York, United States
RMG	KRMG	Richard B. Russell Airport	Rome, Georgia, United States
RMP		Rampart Airport	Rampart, Alaska, United States
RNC	KRNC	Warren County Memorial Airport	McMinnville, Tennessee, United States
RND	KRND	Randolph Air Force Base	Universal City, Texas, United States
RNH	KRNH	New Richmond Regional Airport	New Richmond, Wisconsin, United States
RNO	KRNO	Reno-Tahoe International Airport	Reno, Nevada, United States
RNT	KRNT	Renton Municipal Airport	Renton, Washington, United States
RNZ	KRZL	Jasper County Airport (Indiana)|Jasper County Airport (FAA: RZL)	Rensselaer, Indiana, United States
ROA	KROA	Roanoke Regional Airport (Woodrum Field)	Roanoke, Virginia, United States
ROC	KROC	Greater Rochester International Airport	Rochester, Monroe County, New York|Rochester, New York, United States
ROG	KROG	Rogers Municipal Airport (Carter Field)	Rogers, Arkansas, United States
ROW	KROW	Roswell International Air Center	Roswell, New Mexico, United States
ROX	KROX	Roseau Municipal Airport (Rudy Billberg Field)	Roseau, Minnesota, United States
RPX	KRPX	Roundup Airport	Roundup, Montana, United States
RRL	KRRL	Merrill Municipal Airport	Merrill, Wisconsin, United States
RRT	KRRT	Warroad International Airport (Swede Carlson Field)	Warroad, Minnesota, United States
RSH	PARS	Russian Mission Airport	Russian Mission, Alaska, United States
RSJ		Rosario Seaplane Base	Orcas Island, Washington (U.S. State)|Washington, United States
RSL	KRSL	Russell Municipal Airport	Russell, Kansas, United States
RSN	KRSN	Ruston Regional Airport	Ruston, Louisiana, United States
RST	KRST	Rochester International Airport	Rochester, Minnesota, United States
RSW	KRSW	Southwest Florida International Airport	Fort Myers, Florida, United States
RTN	KRTN	Raton Municipal Airport (Crews Field)	Raton, New Mexico, United States
RUT	KRUT	Rutland State Airport	Rutland (city), Vermont|Rutland, Vermont, United States
RVS	KRVS	Richard Lloyd Jones Jr. Airport	Tulsa, Oklahoma, United States
RWF	KRWF	Redwood Falls Municipal Airport	Redwood Falls, Minnesota, United States
RWI	KRWI	Rocky Mount-Wilson Regional Airport	Rocky Mount, North Carolina, United States
RWL	KRWL	Rawlins Municipal Airport (Harvey Field)	Rawlins, Wyoming, United States
RZZ	KRZZ	Halifax County Airport	Roanoke Rapids, North Carolina, United States
SAA	KSAA	Shively Field	Saratoga, Wyoming, United States
SAC	KSAC	Sacramento Executive Airport	Sacramento, California, United States
SAD	KSAD	Safford Regional Airport	Safford, Arizona, United States
SAF	KSAF	Santa Fe Municipal Airport	Santa Fe, New Mexico, United States
SAG		Sagwon Airport	Sagwon, Alaska, United States
SAN	KSAN	San Diego International Airport	San Diego, California, United States
SAR	KSAR	Sparta Community Airport (Hunter Field)	Sparta, Illinois, United States
SAS	KSAS	Salton Sea Airport	Salton City, California, United States
SAT	KSAT	San Antonio International Airport	San Antonio, Texas, United States
SAV	KSAV	Savannah/Hilton Head International Airport	Savannah, Georgia (near Hilton Head, South Carolina), United States
SBA	KSBA	Santa Barbara Airport|Santa Barbara Municipal Airport	Santa Barbara, California, United States
SBD	KSBD	San Bernardino International Airport	San Bernardino, California, United States
SBM	KSBM	Sheboygan County Memorial Airport	Sheboygan, Wisconsin, United States
SBN	KSBN	South Bend Regional Airport	South Bend, Indiana, United States
SBO		Salina-Gunnison Airport (FAA: 44U)	Salina, Utah, United States
SBP	KSBP	San Luis Obispo County Regional Airport	San Luis Obispo, California, United States
SBS	KSBS	Steamboat Springs Airport (Bob Adams Field)	Steamboat Springs, Colorado, United States
SBX	KSBX	Shelby Airport	Shelby, Montana, United States
SBY	KSBY	Salisbury-Ocean City Wicomico Regional Airport	Salisbury, Maryland, United States
SCB	KSCB	Scribner State Airport	Scribner, Nebraska, United States
SCC	PASC	Deadhorse Airport	Deadhorse, Alaska, United States
SCE	KUNV	University Park Airport (FAA: UNV)	State College, Pennsylvania, United States
SCF	KSDL	Scottsdale Airport (FAA: SDL)	Scottsdale, Arizona, United States
SCH	KSCH	Schenectady County Airport	Schenectady, New York, United States
SCK	KSCK	Stockton Metropolitan Airport	Stockton, California, United States
SCM		Scammon Bay Airport	Scammon Bay, Alaska, United States
SDF	KSDF	Louisville International Airport (Standiford Field)	Louisville, Kentucky, United States
SDM	KSDM	Brown Field Municipal Airport	San Diego, California, United States
SDP	PASD	Sand Point Airport	Sand Point, Alaska, United States
SDX	KSEZ	Sedona Airport (FAA: SEZ)	Sedona, Arizona, United States
SDY	KSDY	Sidney-Richland Municipal Airport	Sidney, Montana, United States
SEA	KSEA	Seattle-Tacoma International Airport	SeaTac, Washington|SeaTac (near Seattle, Washington|Seattle and Tacoma, Washington|Tacoma), Washington (U.S. state)|Washington, United States
SEE	KSEE	Gillespie Field	San Diego, California|San Diego / El Cajon, California, United States
SEF	KSEF	Sebring Regional Airport	Sebring, Florida, United States
SEG	KSEG	Penn Valley Airport	Selinsgrove, Pennsylvania, United States
SEM	KSEM	Craig Field (Alabama)|Craig Field	Selma, Alabama, United States
SEP	KSEP	Clark Field Municipal Airport	Stephenville, Texas, United States
SER	KSER	Freeman Municipal Airport	Seymour, Indiana, United States
SFB	KSFB	Orlando Sanford International Airport	Sanford, Florida (near Orlando, Florida|Orlando), United States
SFF	KSFF	Felts Field	Spokane, Washington, United States
SFM	KSFM	Sanford Regional Airport	Sanford, Maine, United States
SFO	KSFO	San Francisco International Airport	San Francisco, California, United States
SFZ	KSFZ	North Central State Airport	Pawtucket, Rhode Island, United States
SGF	KSGF	Springfield-Branson National Airport	Springfield, Missouri, United States
SGH	KSGH	Springfield-Beckley Municipal Airport	Springfield, Ohio, United States
SGR	KSGR	Sugar Land Regional Airport	Sugar Land, Texas (near Houston, Texas|Houston), United States
SGT	KSGT	Stuttgart Municipal Airport	Stuttgart, Arkansas, United States
SGU	KSGU	St. George Municipal Airport	St. George, Utah, United States
SGY	PAGY	Skagway Airport	Skagway, Alaska, United States
SHD	KSHD	Shenandoah Valley Regional Airport	Staunton, Virginia|Staunton / Waynesboro, Virginia|Waynesboro / Harrisonburg, Virginia, United States
SHG	PAHG	Shungnak Airport	Shungnak, Alaska, United States
SHH	PASH	Shishmaref Airport	Shishmaref, Alaska, United States
SHN	KSHN	Sanderson Field	Shelton, Washington, United States
SHR	KSHR	Sheridan County Airport	Sheridan, Wyoming, United States
SHV	KSHV	Shreveport Regional Airport	Shreveport, Louisiana, United States
SHX	PAHX	Shageluk Airport	Shageluk, Alaska, United States
SIK	KSIK	Sikeston Memorial Municipal Airport	Sikeston, Missouri, United States
SIT	PASI	Sitka Rocky Gutierrez Airport	Sitka, Alaska, United States
SIV	KSIV	Sullivan County Airport	Sullivan, Indiana, United States
SIY	KSIY	Siskiyou County Airport	Montague, California, United States
SJC	KSJC	Norman Y. Mineta San José International Airport	San Jose, California, United States
SJN	KSJN	St. Johns Industrial Air Park	St. Johns, Arizona, United States
SJT	KSJT	San Angelo Regional Airport (Mathis Field)	San Angelo, Texas, United States
SKA	KSKA	Fairchild Air Force Base	Spokane, Washington, United States
SKF	KSKF	Lackland Air Force Base / Kelly Field Annex	San Antonio, Texas, United States
SKK	PFSH	Shaktoolik Airport (FAA: 2C7)	Shaktoolik, Alaska, United States
SKW	PASW	Skwentna Airport	Skwentna, Alaska, United States
SKY	KSKY	Griffing Sandusky Airport	Sandusky, Ohio, United States
SLB	KSLB	Storm Lake Municipal Airport	Storm Lake, Iowa, United States
SLC	KSLC	Salt Lake City International Airport	Salt Lake City, Utah, United States
SLE	KSLE	McNary Field	Salem, Oregon, United States
SLG	KSLG	Smith Field (Arkansas)|Smith Field	Siloam Springs, Arkansas, United States
SLJ		Stellar Airpark (FAA: P19)	Chandler, Arizona, United States
SLK	KSLK	Adirondack Regional Airport	Saranac Lake, New York, United States
SLN	KSLN	Salina Municipal Airport	Salina, Kansas, United States
SLO	KSLO	Salem-Leckrone Airport	Salem, Illinois, United States
SLQ	PASL	Sleetmute Airport	Sleetmute, Alaska, United States
SLR	KSLR	Sulphur Springs Municipal Airport	Sulphur Springs, Texas, United States
SLT	KANK	Harriet Alexander Field (FAA: ANK)	Salida, Colorado, United States
SMD	KSMD	Smith Field (Indiana)|Smith Field	Fort Wayne, Indiana, United States
SME	KSME	Lake Cumberland Regional Airport (J.T. Wilson Field)	Somerset, Kentucky, United States
SMF	KSMF	Sacramento International Airport	Sacramento, California, United States
SMK	PAMK	St. Michael Airport	St. Michael, Alaska, United States
SMN	KSMN	Lemhi County Airport	Salmon, Idaho, United States
SMO	KSMO	Santa Monica Municipal Airport	Santa Monica, California, United States
SMU	PASP	Sheep Mountain Airport	Sheep Mountain, Alaska|Sheep Mountain, Alaska, United States
SMX	KSMX	Santa Maria Public Airport (Capt. G. Allan Hancock Field)	Santa Maria, California, United States
SNA	KSNA	John Wayne Airport (Orange County Airport)	Santa Ana, California, United States
SNK	KSNK	Winston Field	Snyder, Texas, United States
SNL	KSNL	Shawnee Regional Airport	Shawnee, Oklahoma, United States
SNP	PASN	St. Paul Island Airport	St. Paul Island, Alaska, United States
SNS	KSNS	Salinas Municipal Airport	Salinas, California, United States
SNY	KSNY	Sidney Municipal Airport (Nebraska)|Sidney Municipal Airport (Lloyd W. Carr Field)	Sidney, Nebraska, United States
SOP	KSOP	Moore County Airport (North Carolina)|Moore County Airport	Pinehurst, North Carolina|Pinehurst / Southern Pines, North Carolina, United States
SOV	PASO	Seldovia Airport	Seldovia, Alaska, United States
SOW	KSOW	Show Low Regional Airport	Show Low, Arizona, United States
SPA	KSPA	Spartanburg Downtown Memorial Airport	Spartanburg, South Carolina, United States
SPB		Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22)	Charlotte Amalie, United States Virgin Islands|Charlotte Amalie, St. Thomas, U.S. Virgin Islands|Saint Thomas, U.S. Virgin Islands
SPF	KSPF	Black Hills Airport (Clyde Ice Field)	Spearfish, South Dakota, United States
SPG	KSPG	Albert Whitted Airport	St. Petersburg, Florida, United States
SPI	KSPI	Abraham Lincoln Capital Airport	Springfield, Illinois, United States
SPS	KSPS	Sheppard AFB / Wichita Falls Municipal Airport	Wichita Falls, Texas, United States
SPW	KSPW	Spencer Municipal Airport	Spencer, Iowa, United States
SPZ	KASG	Springdale Municipal Airport (FAA: ASG)	Springdale, Arkansas, United States
SQA	KIZA	Santa Ynez Airport (FAA: IZA)	Santa Ynez, California, United States
SQI	KSQI	Whiteside County Airport (Jos. H. Bittorf Field)	Sterling, Illinois|Sterling / Rock Falls, Illinois, United States
SQL	KSQL	San Carlos Airport	San Carlos, California, United States
SQV		Sequim Valley Airport (FAA: W28)	Sequim, Washington, United States
